,price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,floor_coef,is_balcony,is_first_floor,is_last_floor,is_park_near,is_airport_near,is_center_near,is_pond_near,is_one_room,is_two_room,is_three_room,is_apartaments
0,3350000.0,40.4,1,2.72,11,18.6,1,False,11.0,0.09090909090909091,True,True,False,False,False,False,False,True,False,False,False
1,5196000.0,56.0,2,2.75,5,34.3,4,False,8.3,0.8,False,False,False,True,False,False,True,False,True,False,False
2,2890000.0,30.4,1,2.72,12,14.4,5,False,9.1,0.4166666666666667,True,False,False,False,False,False,False,True,False,False,False
3,3700000.0,37.3,1,2.72,26,10.6,6,False,14.4,0.23076923076923078,True,False,False,False,False,False,False,True,False,False,False
4,2900000.0,33.16,1,2.72,27,15.43,26,False,8.81,0.9629629629629629,True,False,False,False,False,False,False,True,False,False,False
5,5400000.0,61.0,3,2.5,9,43.6,7,False,6.5,0.7777777777777778,True,False,False,False,False,False,False,False,False,True,False
6,5050000.0,39.6,1,2.67,12,20.3,3,False,8.5,0.25,True,False,False,True,False,False,True,True,False,False,False
7,3300000.0,44.0,2,2.75,5,31.0,4,False,6.0,0.8,True,False,False,False,False,False,False,False,True,False,False
8,3890000.0,54.0,2,2.75,5,30.0,5,False,9.0,1.0,False,False,True,False,False,False,False,False,True,False,False
9,3550000.0,42.8,2,2.56,5,27.0,5,False,5.2,1.0,True,False,True,True,False,False,True,False,True,False,False
10,4400000.0,36.0,1,2.72,6,17.0,1,False,8.0,0.16666666666666666,False,True,False,False,False,False,True,True,False,False,False
11,4650000.0,39.0,1,2.72,14,20.5,5,False,7.6,0.35714285714285715,True,False,False,True,False,False,True,True,False,False,False
12,4180000.0,36.0,1,2.72,17,16.5,7,False,11.0,0.4117647058823529,True,False,False,False,False,False,True,True,False,False,False
13,3250000.0,31.0,1,2.5,5,19.4,2,False,5.6,0.4,True,False,False,True,False,False,False,True,False,False,False
14,6120000.0,80.0,3,2.7,27,48.0,11,False,12.0,0.4074074074074074,True,False,False,False,False,False,False,False,False,True,False
15,3200000.0,31.6,1,2.72,5,16.9,2,False,5.7,0.4,True,False,False,True,False,False,False,True,False,False,False
16,5000000.0,58.0,2,2.75,25,30.0,15,False,11.0,0.6,True,False,False,False,False,False,False,False,True,False,False
17,2950000.0,32.0,1,2.6,9,17.7,9,False,6.1,1.0,True,False,True,True,False,False,True,True,False,False,False
18,6800000.0,76.0,2,2.75,23,39.0,18,False,15.0,0.782608695652174,True,False,False,False,False,False,True,False,True,False,False
19,4050000.0,60.0,4,2.93,5,43.0,4,False,7.0,0.8,True,False,False,False,False,False,True,False,False,False,True
20,7100000.0,70.0,3,2.6,17,49.0,11,False,9.2,0.6470588235294118,False,False,False,True,False,False,True,False,False,True,False
21,4170000.0,44.0,1,2.9,6,20.8,1,False,11.7,0.16666666666666666,True,True,False,False,False,False,True,True,False,False,False
22,2200000.0,32.8,1,2.72,9,17.87,2,False,9.54,0.2222222222222222,True,False,False,False,False,False,False,True,False,False,False
23,7200000.0,67.9,2,2.8,16,38.1,4,False,13.4,0.25,True,False,False,False,False,False,False,False,True,False,False
24,4990000.0,60.0,3,2.77,5,39.0,4,False,6.0,0.8,False,False,False,False,False,False,True,False,False,True,False
25,4800000.0,73.0,4,2.93,9,51.6,5,False,6.5,0.5555555555555556,True,False,False,False,False,False,False,False,False,False,True
26,3290000.0,33.0,1,2.55,16,14.0,3,False,8.0,0.1875,True,False,False,False,False,False,False,True,False,False,False
27,3790000.0,45.0,2,2.75,9,27.0,9,False,6.3,1.0,True,False,True,True,False,False,False,False,True,False,False
28,1990000.0,45.8,2,2.5,5,31.69,1,False,9.95,0.2,True,True,False,False,False,False,False,False,True,False,False
29,3150000.0,40.0,1,2.75,18,16.3,9,False,11.6,0.5,True,False,False,False,False,False,False,True,False,False,False
30,5200000.0,54.4,2,2.75,9,29.7,2,False,8.8,0.2222222222222222,True,False,False,False,False,False,True,False,True,False,False
31,3590000.0,36.0,1,2.6,26,15.0,22,False,10.0,0.8461538461538461,True,False,False,False,False,False,False,True,False,False,False
32,7900000.0,74.0,3,2.77,14,59.0,8,False,12.0,0.5714285714285714,True,False,False,True,False,False,True,False,False,True,False
33,5350000.0,40.0,1,2.72,22,17.87,3,False,9.54,0.13636363636363635,True,False,False,True,False,False,True,True,False,False,False
34,5200000.0,50.6,2,2.65,9,30.3,7,False,7.0,0.7777777777777778,True,False,False,False,False,False,False,False,True,False,False
35,6600000.0,52.1,2,2.6,24,29.7,9,False,8.3,0.375,True,False,False,False,False,False,False,False,True,False,False
36,3600000.0,56.1,3,2.77,4,42.5,3,False,5.7,0.75,True,False,False,False,False,False,False,False,False,True,False
37,3600000.0,33.83,1,2.72,24,15.35,6,False,9.5,0.25,True,False,False,False,False,False,True,True,False,False,False
38,3050000.0,30.8,1,2.5,9,18.0,7,False,6.0,0.7777777777777778,True,False,False,True,False,False,False,True,False,False,False
39,4500000.0,48.2,1,2.7,5,25.4,4,False,9.0,0.8,True,False,False,True,False,False,True,True,False,False,False
40,4300000.0,39.1,1,2.72,25,15.4,13,False,15.5,0.52,True,False,False,False,False,False,False,True,False,False,False
41,3320000.0,36.5,1,2.72,24,14.0,6,False,12.0,0.25,False,False,False,False,False,False,False,True,False,False,False
42,7400000.0,58.8,2,2.6,10,33.7,9,False,10.7,0.9,True,False,False,False,False,False,True,False,True,False,False
43,4350000.0,41.0,1,2.8,7,18.1,4,False,11.1,0.5714285714285714,True,False,False,True,False,False,True,True,False,False,False
44,3200000.0,45.0,1,2.72,25,17.0,10,False,12.0,0.4,True,False,False,False,False,False,True,True,False,False,False
45,3900000.0,33.0,1,2.6,9,19.0,5,False,7.0,0.5555555555555556,True,False,False,False,False,False,True,True,False,False,False
46,6300000.0,46.5,1,2.72,13,17.87,13,False,9.54,1.0,True,False,True,False,False,False,False,True,False,False,False
47,2740000.0,35.0,1,2.72,12,17.87,8,False,9.54,0.6666666666666666,True,False,False,False,False,False,False,True,False,False,False
48,4800000.0,78.6,3,2.8,9,48.8,5,False,11.9,0.5555555555555556,True,False,False,False,False,False,False,False,False,True,False
49,3100000.0,44.3,2,2.5,5,29.0,5,False,5.3,1.0,True,False,True,False,False,False,False,False,True,False,False
50,4400000.0,57.0,3,2.5,5,39.0,2,False,7.0,0.4,True,False,False,False,False,False,False,False,False,True,False
51,3450000.0,34.0,1,2.6,17,17.4,8,False,11.5,0.47058823529411764,True,False,False,False,False,False,False,True,False,False,False
52,2550000.0,31.0,1,2.5,5,15.4,4,False,7.2,0.8,True,False,False,False,False,False,True,True,False,False,False
53,4150000.0,74.0,3,2.8,5,44.0,1,False,8.0,0.2,True,True,False,False,False,False,False,False,False,True,False
54,4010000.0,50.7,2,2.6,5,28.9,5,False,9.0,1.0,True,False,True,False,False,False,False,False,True,False,False
55,3400000.0,30.0,1,2.72,5,16.0,1,False,7.0,0.2,True,True,False,True,False,False,False,True,False,False,False
56,4850000.0,57.5,3,2.5,9,39.0,8,False,6.2,0.8888888888888888,True,False,False,True,False,False,True,False,False,True,False
57,4500000.0,55.0,2,2.7,3,35.5,2,False,7.5,0.6666666666666666,True,False,False,True,False,False,True,False,True,False,False
58,4750000.0,73.8,3,2.77,10,44.8,1,False,10.4,0.1,False,True,False,False,False,False,True,False,False,True,False
59,2350000.0,34.0,1,2.5,9,19.0,8,False,7.1,0.8888888888888888,True,False,False,True,False,False,True,True,False,False,False
60,4950000.0,44.0,2,2.7,23,21.0,19,False,15.0,0.8260869565217391,True,False,False,False,False,False,False,False,True,False,False
61,2800000.0,55.1,3,2.6,5,38.4,1,False,4.9,0.2,True,True,False,False,False,False,False,False,False,True,False
62,4300000.0,62.1,3,2.55,5,43.5,1,False,7.3,0.2,False,True,False,True,False,False,True,False,False,True,False
63,4350000.0,37.0,1,2.72,19,18.0,6,False,10.7,0.3157894736842105,True,False,False,False,False,False,False,True,False,False,False
64,2590000.0,55.7,3,2.5,4,42.6,4,False,7.0,1.0,True,False,True,False,False,False,False,False,False,True,False
65,10949000.0,68.0,1,2.72,10,17.87,6,False,9.54,0.6,True,False,False,False,False,False,False,True,False,False,False
66,4500000.0,80.5,3,2.77,25,47.36,16,False,11.28,0.64,True,False,False,False,False,False,False,False,False,True,False
67,4200000.0,41.4,1,2.7,25,16.5,20,False,10.2,0.8,True,False,False,False,False,False,False,True,False,False,False
68,2400000.0,43.9,2,2.75,2,27.46,1,False,5.2,0.5,True,True,False,False,False,False,False,False,True,False,False
69,4500000.0,63.0,2,2.75,11,36.0,3,False,9.0,0.2727272727272727,True,False,False,False,False,False,False,False,True,False,False
70,4999000.0,52.0,2,2.61,9,30.0,6,False,9.0,0.6666666666666666,True,False,False,False,False,False,True,False,True,False,False
71,1700000.0,33.1,1,2.72,5,18.4,1,False,6.4,0.2,True,True,False,False,False,False,False,True,False,False,False
72,2500000.0,63.0,3,2.5,5,43.0,4,False,9.0,0.8,True,False,False,False,False,False,False,False,False,True,False
73,6450000.0,67.7,3,2.77,9,40.0,4,False,8.0,0.4444444444444444,True,False,False,False,False,False,False,False,False,True,False
74,2130000.0,54.0,2,2.75,3,28.0,1,False,8.5,0.3333333333333333,False,True,False,False,False,False,False,False,True,False,False
75,4200000.0,72.0,2,2.75,12,45.0,4,False,10.0,0.3333333333333333,True,False,False,False,False,False,False,False,True,False,False
76,3500000.0,40.4,1,2.75,9,20.0,7,False,10.0,0.7777777777777778,True,False,False,True,False,False,False,True,False,False,False
77,3500000.0,29.5,1,2.5,5,15.6,2,False,5.5,0.4,True,False,False,False,False,False,False,True,False,False,False
78,5150000.0,47.0,2,2.75,9,28.1,9,False,7.0,1.0,True,False,True,True,False,False,True,False,True,False,False
79,8780000.0,78.3,3,2.5,15,51.0,9,False,11.0,0.6,True,False,False,False,False,False,True,False,False,True,False
80,11700000.0,80.0,3,2.77,5,55.1,3,False,11.0,0.6,False,False,False,True,False,False,False,False,False,True,False
81,3800000.0,38.6,1,2.72,9,18.0,6,False,8.4,0.6666666666666666,True,False,False,False,False,False,False,True,False,False,False
82,3000000.0,37.0,1,2.75,10,12.0,3,False,13.0,0.3,True,False,False,False,False,False,False,True,False,False,False
83,3700000.0,33.0,1,2.72,14,18.0,2,False,6.2,0.14285714285714285,True,False,False,False,False,False,False,True,False,False,False
84,4800000.0,35.0,1,2.7,25,17.0,9,False,9.0,0.36,True,False,False,False,False,False,False,True,False,False,False
85,6900000.0,77.2,4,2.6,9,61.0,1,False,6.0,0.1111111111111111,True,True,False,False,False,False,True,False,False,False,True
86,4900000.0,32.0,1,2.72,25,15.0,5,False,9.0,0.2,True,False,False,False,False,False,True,True,False,False,False
87,9490000.0,80.0,3,2.55,10,46.0,7,False,11.0,0.7,True,False,False,False,False,False,False,False,False,True,False
88,7497600.0,62.5,2,2.75,5,35.5,5,False,9.5,1.0,True,False,True,True,False,False,False,False,True,False,False
89,4590000.0,40.0,1,2.72,6,18.0,1,False,10.0,0.16666666666666666,False,True,False,True,False,False,False,True,False,False,False
90,2500000.0,33.3,1,2.55,9,19.0,3,False,7.0,0.3333333333333333,True,False,False,False,False,False,False,True,False,False,False
91,5750000.0,78.0,3,2.77,27,45.4,27,False,10.8,1.0,True,False,True,False,False,False,False,False,False,True,False
92,4000000.0,21.4,1,2.9,8,8.3,7,False,6.3,0.875,True,False,False,True,False,False,True,True,False,False,False
93,3850000.0,42.0,2,2.75,5,27.0,4,False,6.5,0.8,True,False,False,False,False,False,False,False,True,False,False
94,4500000.0,31.0,1,2.5,9,17.0,4,False,5.0,0.4444444444444444,True,False,False,False,False,False,True,True,False,False,False
95,6200000.0,67.0,3,2.77,6,42.5,2,False,8.2,0.3333333333333333,True,False,False,True,False,False,True,False,False,True,False
96,2500000.0,30.9,1,2.75,5,16.7,1,False,6.0,0.2,True,True,False,True,False,False,True,True,False,False,False
97,2100000.0,60.0,2,2.5,5,31.5,2,False,9.0,0.4,True,False,False,False,False,False,False,False,True,False,False
98,4800000.0,65.9,3,2.55,9,48.5,8,False,6.3,0.8888888888888888,True,False,False,False,False,False,False,False,False,True,False
99,4050000.0,51.0,2,2.75,5,30.5,1,False,6.6,0.2,True,True,False,True,False,False,True,False,True,False,False
100,6210000.0,55.0,2,2.5,11,31.9,3,False,8.3,0.2727272727272727,True,False,False,False,False,False,False,False,True,False,False
101,2500000.0,31.0,1,2.75,3,19.5,1,False,5.0,0.3333333333333333,True,True,False,False,False,False,True,True,False,False,False
102,3200000.0,32.0,1,2.5,9,18.0,3,False,8.0,0.3333333333333333,True,False,False,True,False,False,False,True,False,False,False
103,2650000.0,49.0,2,2.8,8,31.0,8,False,6.0,1.0,True,False,True,False,False,False,False,False,True,False,False
104,3400000.0,71.1,3,2.5,5,41.9,4,False,9.0,0.8,True,False,False,False,False,False,False,False,False,True,False
105,2699000.0,33.0,1,2.5,9,19.0,7,False,6.0,0.7777777777777778,True,False,False,False,False,False,False,True,False,False,False
106,3150000.0,31.0,1,2.72,25,17.87,6,False,9.54,0.24,True,False,False,False,False,False,False,True,False,False,False
107,3800000.0,33.7,1,2.65,17,15.1,3,False,7.3,0.17647058823529413,True,False,False,False,False,False,True,True,False,False,False
108,4800000.0,40.0,2,2.75,3,29.0,2,False,6.0,0.6666666666666666,True,False,False,False,False,True,True,False,True,False,False
109,2200000.0,31.0,1,2.5,5,17.0,3,False,5.5,0.6,True,False,False,False,False,False,False,True,False,False,False
110,6500000.0,32.6,1,2.72,5,18.5,5,False,5.5,1.0,True,False,True,False,False,False,False,True,False,False,False
111,2990000.0,30.0,1,2.5,9,20.0,9,False,5.6,1.0,False,False,True,False,False,False,True,True,False,False,False
112,2450000.0,27.0,1,2.72,24,15.5,2,True,9.54,0.08333333333333333,True,False,False,False,False,False,False,True,False,False,False
113,8290000.0,77.0,2,2.77,16,40.0,5,False,10.0,0.3125,True,False,False,False,False,False,True,False,True,False,False
114,4400000.0,53.6,2,2.55,10,29.2,10,False,7.8,1.0,True,False,True,True,False,False,True,False,True,False,False
115,4790000.0,35.5,1,2.65,25,17.0,20,False,9.0,0.8,True,False,False,False,False,False,True,True,False,False,False
116,5300000.0,53.0,2,2.65,12,31.5,6,False,7.6,0.5,True,False,False,True,False,False,True,False,True,False,False
117,3900000.0,45.0,2,2.75,5,29.0,3,False,6.0,0.6,True,False,False,False,False,False,False,False,True,False,False
118,2950000.0,44.9,2,2.75,5,28.0,3,False,5.4,0.6,True,False,False,False,False,False,False,False,True,False,False
119,8090000.0,81.22,3,2.64,24,42.9,10,False,12.72,0.4166666666666667,True,False,False,False,False,False,True,False,False,True,False
120,4350000.0,55.0,2,2.57,9,31.2,2,False,8.3,0.2222222222222222,False,False,False,True,False,False,False,False,True,False,False
121,7250000.0,75.75,2,2.7,22,40.61,3,False,15.0,0.13636363636363635,True,False,False,False,False,False,False,False,True,False,False
122,3100000.0,47.3,2,2.75,5,27.5,2,False,8.5,0.4,True,False,False,False,False,False,False,False,True,False,False
123,3300000.0,41.9,1,2.72,7,15.4,7,False,12.4,1.0,True,False,True,False,False,False,True,True,False,False,False
124,5000000.0,42.9,1,2.75,23,18.9,8,False,7.9,0.34782608695652173,True,False,False,True,False,False,False,True,False,False,False
125,5600000.0,66.0,3,2.5,9,48.0,9,False,6.3,1.0,True,False,True,True,False,False,False,False,False,True,False
126,6500000.0,67.4,3,2.65,17,40.1,6,False,10.3,0.35294117647058826,True,False,False,False,False,False,True,False,False,True,False
