,title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres,MyScore
2261,Хотел бы я быть здесь,121014514,2014-07-09T12:00:00.000Z,Художественный,"Ворлдвье Интертейнмент, Дабл Фиче Филмз",США,Зак Брафф,"Адам Дж.Брафф, Зак Брафф, Мэттью Эндрюс",«12+» - для детей старше 12 лет,,,,,7.1,"драма,комедия",5.626149
2622,Пиксели,121014415,2015-07-10T12:00:00.000Z,Художественный,"1492 Пиксерз, Коламбиа Пикчерз, Хэппи Медисон Пикчерз",США,Крис Коламбус,"Майкл Барнатан, Аллен Коверт, Крис Коламбус, Марк Рэдклифф, Адам Сэндлер",«12+» - для детей старше 12 лет,,,,,5.8,"фантастика,боевик,комедия",7.013791
3359,Во всем виноват енот,121012217,2017-06-29T12:00:00.000Z,Художественный,"Мокингберд Пикчерз, Доминион  Пикчерз ",США,Робин Суикорд,"Бонни Кертис, Венди Федерман",«18+» - запрещено для детей,,,,,6.6,драма,6.575396
358,Пятая заповедь,121017316,2016-06-07T12:00:00.000Z,Художественный,"Айдентити Студиос, Херолд Студиос, ЭарКанди",США,Джесси Джонсон,"Патрик Коул, Рик Юн",«18+» - запрещено для детей,,,,,5.0,"боевик,триллер,драма",6.6156797
6150,Вне Игры (серии 1-12),111015418,2018-08-21T12:00:00.000Z, Художественный,"ООО ""Старт Студио""",Россия,"В.Шамиров, Д.Балинова, Р.Хачмамук","А.Троцюк, Э.Илоян, В.Шляппо, Д.Жалинский",«16+» - для детей старше 16 лет,,,,,6.2,"триллер,драма,криминал",5.686018
3749,Белое вино из Баббудойу,121006017,2017-04-05T12:00:00.000Z,Художественный,"33 Эпо 2 Ти Ви, Фиренце Продуциони, Баббудою Корпорейшн",Италия,Игор Биддау,Пьерлуиджи Криспино,«16+» - для детей старше 16 лет,,,,,5.8,комедия,5.665859
2281,"300 спартанцев: Расцвет империи /По произведению Фрэнка Миллера ""Ксеркс""/ (на английском языке)",221022014,2014-07-15T12:00:00.000Z,Художественный,"Уорнер Бразерс, Леджендари Пикчерз, Круэль/Унусел Филмз, Атмосфер Интертейнмент, Холливуд Ганг Продакшнз ",США,Ноам Мурро,"Марк Кэнтон, Джанни Нуннари, Дебора Снайдер, Зак Снайдер",«16+» - для детей старше 16 лет,,,,,6.6,"фэнтези,боевик,военный",7.864898
1446,Первый мститель: Другая война,121004814,2014-03-21T12:00:00.000Z,Художественный,"Марвел Интертейнмент, Сони Пикчерз Имиджворкс",США,"Джо Руссо, Энтони Руссо",Кевин Фейдж,«12+» - для детей старше 12 лет,,,,,7.3,"фантастика,боевик,приключения",6.619335
3244,Реальная белка,124001017,2017-05-02T12:00:00.000Z,Анимационный,"ТунБокс Интертейнмент, Ред Ровер Интернэшнл,  Гольфстрим Пикчерз",Южная Корея - США - Канада,Питер Лепениотис,"Грэм Молой, Вук-юнг Чжун",«6+» - для детей старше 6 лет,,,,,6.1,"мультфильм,комедия,криминал",6.3699837
3956,Лурд,121015710,2010-06-30T12:00:00.000Z,Художественный,"Арте, кооп99 фильмпродукцион, Эссеншиал Фильмпродукцион, Паризьен де Продюксьон, Термидор Фильмпродукцион",Австрия-Франция-Германия,Джессика Хауснер,"Сюзан Мриан, Мартин Гшлахт, Филипп Бобер",«16+» - для детей старше 16 лет,,,,,6.6,драма,6.7665663
4113,Гоп-стоп,111009610,2010-10-28T12:00:00.000Z,Художественный,"ООО ""Леополис""",Россия,П.Бардин,"С.Ливнев, Г.Малков, Д.Захаров, П.Федоров, С.Дандурян, В.Трошин, П.Бардин",«18+» - запрещено для детей,,,,,4.1,комедия,6.8816166
1101,Порочная страсть,121022012,2012-09-17T12:00:00.000Z,Художественный,"Лаки Манки Пикчерз, Грин Рум Филмз, Артина Филмз, Трихауз Пикчерз, Алверниа Продакшн",США,Николас Джареки,"Лаура Бикфорд, Роберт Салерно, Кевин Тарен",«16+» - для детей старше 16 лет,,,,,6.6,"триллер,драма",5.6060953
388,Время.,221004912,2012-01-20T12:00:00.000Z,Художественный,"Нью Ридженси Пикчерз, Страйк Интертейнмент",США,Эндрю Никкол,"Марк Абрахам, Эндрю Никкол, Эрик Ньюман",«16+» - для детей старше 16 лет,,,,,7.3,"фантастика,мелодрама,боевик",7.0123234
1007,Эрнест и Селестина: Приключения мышки и медведя,124000613,2013-03-27T12:00:00.000Z,Анимационный,"Ля Пати Продюксьон, Ле Арматурз, Мелусайн Продюксьон, Мэйби Мувиз, Студио Канал",Франция,"Стефан Обье, Венсан Патар, Бенжамен Реннер","Дидье Бруннер, Генри Магалон, Венсан Тавье",«0+» - для любой зрительской аудитории,,,,,8.0,"мультфильм,фэнтези,драма",5.828643
5274,Как выйти замуж за миллиардера,121004111,2011-03-25T12:00:00.000Z,Художественный,"Кросс Дэй Продакшн, Калейдоскоп Филмз, Пресциенс, Нью Биоскоп Филм, Эджис Филм Фонд, Метрополис Интернэшнл Сейлс",Германия - Великобритания - Австрия,Фил Трэйл,"Вольфганг Бер, Дитмар Гюнче, Пиппа Кросс",«18+» - запрещено для детей,,,,,6.9,"мелодрама,комедия,спорт",6.846208
4655,Братья Гримм,221155910,2010-12-17T12:00:00.000Z,Художественный,"Мозаик Медиа Групп, Дайменшн Филмз, Саммит Интертейнмент, Зе Вайнштейн Компани, Реформа Филмз",США,Тьерри Гиллиам,"Дэниэл Бобкер, Чарльз Ровен",«12+» - для детей старше 12 лет,,,,,7.0,"ужасы,фэнтези,боевик",6.7552695
1718,"Людвиг Минкус. Дон Кихот /По роману Мигеля Сервантеса ""Хитроумный идальго Дон Кихот Ламанчский""/. Постановка Royal Opera House",126003813,2013-10-21T12:00:00.000Z,Прочие,Артс Алианс Медиа,Великобритания,хореография Карлоса Акосты по Мариусу Петипа,,«0+» - для любой зрительской аудитории,,,,,,,6.529103
5200,Линкольн для адвоката /По произведению Майкл Коннелли/,121005311,2011-04-11T12:00:00.000Z,Художественный,"Лайонс Гейт, Лэйкшор Интертейнмент, Сидни Киммел Интертейнмент, Стоун Виладж Пикчерз",США,Брэд Фурман,"Сидни Киммел, Гари Лучези, Ричард С.Райт, Том Розенберг, Скотт Штейндорфф",«16+» - для детей старше 16 лет,,,,,7.8,"триллер,драма,криминал",5.8215256
3834,Однажды в Риме,221031010,2010-02-18T12:00:00.000Z,Художественный,"Тачстоун Пикчерз, Краснофф Фостер Продакшнз",США,Марк Стивен Джонсон,"Рикки Ли Бисталл, Марк Стивен Джонсон, Эндрю Пэнэй, Эзра Свердлов, Гэри Фостер",«16+» - для детей старше 16 лет,,,,,,,5.562682
3327,Однажды в Германии,121008517,2017-05-02T12:00:00.000Z,Художественный,"Самса  Филм, Ай Джи Си Филм, Мэтч Фэктори, Антр Шьен э Лу, Цвейте Дойче Фернштейн, Центр дю Синема э де лаудивизуэль де ля Федерасьон Валони Брюсель",Германия - Люксембург - Бельгия,Сэм Гарбарски,"Себастьен Деллуа, Рошанак Берешт Неджад, Джани Тилтгес",«16+» - для детей старше 16 лет,,,,,6.5,"драма,комедия,военный",6.7883773
4476,Покаяние_,212010510,2010-03-31T12:00:00.000Z,Художественный,"НП ""Ателье-Фильм-Александр""",Россия,А.Гутман,А.Гутман,«12+» - для детей старше 12 лет,,,,,7.9,"драма,комедия",5.583337
6043,Остаться в живых,111011918,2018-07-19T12:00:00.000Z, Художественный,"ООО ""Стар Медиа Дистрибьюшн""",Россия,А.Малюков,"ООО ""Стар Медиа Дистрибьюшн""",«12+» - для детей старше 12 лет,,,,,8.1,"фантастика,детектив,фэнтези",5.001
2655,АТАКА ТИТАНОВ. ФИЛЬМ ПЕРВЫЙ. ЖЕСТОКИЙ МИР,121017215,2015-08-17T12:00:00.000Z,Художественный,"КОДАНША ЛТД, ЛИКРИ, НИККАТЦУ КОРПОРЕЙШЕН, ТОХО КОМПАНИ",Япония,Синдзи Хигути,"Юджи Ишида, Генки Кавамура",«16+» - для детей старше 16 лет,,,,,4.5,"фантастика,драма,боевик",5.9923477
2163,МЕЖДУ НОТ или тантрическая симфония,111002615,2015-03-17T12:00:00.000Z,Художественный,"ООО ""ЕРАЛАШ""",Россия,Б.Грачевский,"ООО ""ЕРАЛАШ""",«16+» - для детей старше 16 лет,,,,,5.3,мелодрама,7.1517706
6748,Наркокурьер,121003119,2019-02-28T12:00:00.000Z, Художественный,"Уорнер Бразерс, Императив Интертейнмент, Малпасо",США,Клинт Иствуд,"Клинт Иствуд, Джессика Мейер, Тим Мур, Кристина Ривера, Брэдли Томас, Дэн Фридкин",«18+» - запрещено для детей,,,,,7.1,"триллер,драма,криминал",6.8613935
2185,Доктор Кто: Глубокий вдох,121017814,2014-08-07T12:00:00.000Z,Художественный,"Би-Би-Си, Эс Бэ Эс",Великобритания,Бен Уитли   ,"Брайан Минчин, Стивен Моффат",«12+» - для детей старше 12 лет,,,,,7.8,"фантастика,приключения,драма",7.0835376
3386,Уйти красиво,121005117,2017-03-23T12:00:00.000Z,Художественный,"Уорнер Бразерс, Нью Лайн Синема, Де Лайн Пикчерз, Метро Голдвин Майер, Виллидж Роадшоу Пикчерз",США,Зак Брафф,"Дональд Де Лайн, Тони Билл, Джонатан МакКой",«18+» - запрещено для детей,,,,,6.7,"комедия,криминал",6.249464
4636,Нападение на 13-й участок,221154010,2010-12-17T12:00:00.000Z,Художественный,"Рог Пикчерз, Лиазон Филмз, Уай Нот Продакшнс, Фокус Фичерз",США,Жан-Франсуа Рише,"Паскаль Кошето, Джефри Сильвер",«16+» - для детей старше 16 лет,,,,,6.9,"боевик,триллер,драма",6.46259
1210,Как по маслу,121026012,2012-10-18T12:00:00.000Z,Художественный,"Майкл Де Лука Продакшнз, Вандалиа Филмз, Вайнштейн Компани",США,Джим Филд Смит,"Дженнифер Гарнер, Джулиана Джейнс, Майкл Де Лука",«16+» - для детей старше 16 лет,,,,,6.0,"драма,комедия",5.977469
6712,Мадонна: Рождение легенды,126000319,2019-02-14T12:00:00.000Z,Документальный,"Лотус Энтертейнмент, Гай Гвидо Энтертейнмент",США,Гай Гвидо,Пол Кастро мл.,«16+» - для детей старше 16 лет,,,,,6.1,"документальный,биография",7.189701
